# Lanczos Approximation Coefficients
# n = 20
# g = 21.5
# precision = 160 decimal digits
#
# Formula:
#   Gamma(z) = base^(z+0.5) * exp(-base) * S(z)
#   where base = z + g + 0.5
#         S(z) = p[0] + sum_{k=1}^{n-1} p[k] / (z + k)
#   Note: sqrt(2*pi) factor is absorbed into p[0]
#
# index, coefficient
0, 2.5066282746310005024157326122310011778305433016563729398675370690231387732503664882504318963884033314433527467711667058042457553092331518916799497734599766569702e+0
1, 6.0435729309681141627549667332053930527552608956791690046711865774491849721528540060911749220839812714327252806253903381831945962124602999098728130700571864906220e+9
2, -4.3394494290130399942992195218234882436239258799565774884076818070591164401216535399538717392972804662410065402724520893722434986452865170947726644402536989377864e+10
3, 1.4042652951620076146504580617165996091011203971980692439220853272991606662186919698141791278484518367141983135067519556793165174832303629833669584861189625698575e+11
4, -2.7077165019287799682306913214485683944702522906179341554757979076425087106365347650787295603441857036373158274415246606315409364333818797376815836360829062429786e+11
5, 3.4658925684098635736820008408936911455433135730148802502403279529709380322711118896513821411341125295501939657673977565699188496632851429954573093025650022630030e+11
6, -3.1059207417173543526554707570091054706481351708790127910479274217124214277923789476777699951811859160676819816833057763820714665330185588764365181447498443370999e+11
7, 2.0029860101676254556150492472843319459603628201899885818741878275474509283978843607782173232743173985259546238233315192628517258348260275359381168860807312463064e+11
8, -9.4113619844370783394820656329311728977617877333370942478140288615406393822746012048966965610073189879571807973654754877830204284494916289606356921054412753083240e+10
9, 3.2272026383001537768557192244117792351021176865052932926770872382928318821450080170286376210789501012653288532241158313731088774854299663549122670006554121662719e+10
10, -8.0166438037628694996768624594212858528298099136219733315694090807149255452028963469378968564839256067972024262345235993895687419126667914797653877613743821647847e+9
11, 1.4193825517810428207446255453388654735833208863466987847085569662994391990393219238933700228172632279251814831031137573171685904999266803910679395563032868536433e+9
12, -1.7449745649796632893186816787057693948751485062552593895543039552054179658829379853532244280153037643198773586595714592942367306194373375219930251129303793153410e+8
13, 1.4333252150296087690146960819116408648715919784843111610677198061345237823526142673190348266770940758623635292750118455610067149709958497444148924834740980187733e+7
14, -7.4437257368583711266750575602363606874340951799496558153086545554912260702641185575676357417590024038586640734644220088829232713677499542148249689860901760013370e+5
15, 2.2572236995368177739958651432903095826697716245943547826714383314995546641107788896498103298104573064297933039539655462831882357116939452623767362746708974043228e+4
16, -3.5531346120189673002169663947817176515888674597732724249084603598998859581811095348837253804164314655965704014100331233485118685463882955027815348601511043015551e+2
17, 2.4202369465427214503347458319842327687856235939202448594603404240229655721174671476075102315293867291614401882364669343268586381791166547883315060585933128948010e+0
18, -5.2742306029915900064519950338010052446284467695363780267259854304626874487219390308035134242108790982104054010352341805756938190692991588029540933239959823102279e-3
19, 2.1047456706893915233428241809170500862844023060769902355172495313950649694757498826961803201916480363184899529093863807578916359880944970611366089936663996761805e-6
