# Lanczos Gamma Function Verification Results
# Parameters: n=20, g=21.5, digits=160
# Test data source: real_gamma.csv
#
# z, computed, expected (first 30 digits), absolute_error, matching_digits, status
0.5, 1.7724538509055160272981674833411453383660387682017240274704262581684993499783662919120956399515369526321767551930964677607801922846329661388770251519505222678065e+0, 1.7724538509055160272981674833..., 1.5556848931e-34, 34, PASS
1, 1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+0, 1..., 1.7737010207e-178, 161, PASS
1.5, 8.8622692545275801364908374167057258875008288405015612075915178342752571828591087446204938726942884785357894976967965034845600467640103537191112098532112015757170e-1, 886226925452758013649083741670..., 2.6486918440e-36, 34, PASS
2, 1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+0, 1..., 1.0333736381e-177, 161, PASS
2.5, 1.3293403881791370204736256125058588873452833932791953507075113776130902393353785421579165990707466570324429140902474287768172483917393745429726180410060455553646e+0, 1.3293403881791370204736256125..., 2.4712130118e-37, 37, PASS
3, 2.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+0, 2..., 7.3724268513e-177, 161, PASS
3.5, 3.3233509704478425511840640312646472176864212038007539336659685523329188282738096880023629978046076241011584657901999046751132973342637368856459397479625003855756e+0, 3.3233509704478425511840640312..., 5.8984026428e-38, 37, PASS
4, 6.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+0, 6..., 6.0521763524e-176, 161, PASS
4.5, 1.1631728396567448929144224109426265262136734093137732403944754740715745096801020466849594633139744308031753120565309334749000139104140714301630650986366168414868e+1, 11.631728396567448929144224109..., 2.7815787334e-38, 39, PASS
5, 2.4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+1, 24..., 5.5586247640e-175, 161, PASS
5.5, 5.2342777784553520181149008492418193679467463463441777028766734170271576820914875100701355859927054884689048754867628140208348511336302903190315531580868029224894e+1, 52.342777784553520181149008492..., 2.2668912672e-38, 39, PASS
6, 1.2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+2, 120..., 5.6235267979e-174, 161, PASS
6.5, 2.8788527781504436099631954670830006523722515537213261543760993307087224434376170273615532203233631114370799467139657537081695038836977472703301038273519166901775e+2, 287.88527781504436099631954670..., 2.9427303504e-38, 39, PASS
